Amb_temp,Wind_speed,Yaw_direction,Rotor_rpm,Generator_rpm,Blade_angle_ref,Blade_angle_a,Blade_angle_b,Blade_angle_c,Blade_pres,Active_power,Reactive_power,Available_power
5,8.29,286.9,12.8,1530.2,-0.6,-0.5,-0.5,-0.5,175,1818,-34,1846
5,8.33,286.9,12.8,1530.2,-0.6,-0.5,-0.5,-0.5,175,1814,-34,1846
5,7.99,286.9,12.7,1512,-0.6,-0.5,-0.5,-0.5,175,1814,-38,1821
5,7.99,286.9,12.4,1500.5,-0.6,-0.5,-0.5,-0.5,175,1816,-36,1843
5,7.99,286.9,12.4,1493.1,-0.6,-0.5,-0.5,-0.5,175,1836,-34,1843
5,8.14,286.9,12.4,1493.1,-0.6,-0.5,-0.5,-0.5,175,1836,-34,1839
5,8.14,286.9,12.2,1486.9,-0.6,-0.5,-0.5,-0.5,175,1845,-64,1839
5,7.67,286.9,12.2,1475.9,-0.6,-0.5,-0.5,-0.5,175,1854,-89,1857
5,7.67,286.9,12.2,1455,-0.6,-0.5,-0.5,-0.5,174,1810,-94,1830
5,8.13,286.9,12.2,1455,-0.6,-0.5,-0.5,-0.5,174,1810,-94,1830
5,7.37,286.9,12.1,1450.7,-0.6,-0.5,-0.5,-0.5,174,1751,-96,1762
5,7.37,286.9,12.1,1450.7,-0.6,-0.5,-0.5,-0.5,174,1751,-98,1762
5,8.15,286.9,11.8,1432.9,-0.6,-0.5,-0.5,-0.5,174,1702,-98,1716
5,8.15,286.9,11.9,1419,-0.6,-0.5,-0.5,-0.5,174,1702,-96,1691
5,8.15,286.9,11.9,1419,-0.6,-0.5,-0.5,-0.5,174,1660,-98,1691
5,7.94,286.9,11.8,1419,-0.6,-0.5,-0.5,-0.5,174,1636,-87,1636
5,8.14,286.9,11.8,1409.1,-0.6,-0.5,-0.5,-0.5,174,1636,-91,1636
5,8.14,286.9,11.8,1396.1,-0.6,-0.5,-0.5,-0.5,174,1606,-91,1636
5,8.4,286.9,11.7,1396.1,-0.6,-0.5,-0.5,-0.5,174,1561,-80,1567
5,8.55,286.9,11.7,1392.4,-0.6,-0.5,-0.5,-0.5,174,1569,-80,1567
5,8.29,286.9,11.6,1388.6,-0.6,-0.5,-0.5,-0.5,174,1555,-68,1574
5,8.37,286.9,11.6,1388.6,-0.6,-0.5,-0.5,-0.5,173,1555,-68,1534
5,8.37,286.9,11.6,1379.9,-0.6,-0.5,-0.5,-0.5,173,1510,-42,1534
5,8.37,286.9,11.4,1367.7,-0.6,-0.5,-0.5,-0.5,173,1510,-10,1517
5,7.94,286.9,11.5,1367.7,-0.6,-0.5,-0.5,-0.5,173,1459,-10,1517
5,7.94,286.9,11.4,1361.9,-0.6,-0.6,-0.5,-0.5,173,1459,1,1452
5,7.73,286.9,11.4,1361.9,-0.6,-0.6,-0.5,-0.5,173,1451,1,1452
